,adverb,cluster,sentence,entropy
459,dynamically,0,"36-year-old male, Omar Singh, unrestrained passenger, hemodynamically unstable,",3.900979983484376e-09
460,dynamically,2,"So we have two examples from opposite sides of the planet, and both examples are aerodynamically sound and they fly.",6.764649640444986e-08
461,eagerly,0,"Eagerly I grabbed my wife, and run towards the life, love and happiness.",4.028955835622128e-09
462,early,0,-Who's that sexy phone voice? very Early Bond. -What message?,2.714633353662066e-07
463,early,2,"Early in 1994, a decision was made to mount a search for the location of Colin McKenzie's lost city.",3.382678315233534e-08
464,earnestly,0,Did she report that we're earnestly attempting to find and return the missing money?,0.005044490098953247
465,earnestly,1,He spoke long and earnestly until the baboon began to pay attention.,0.006688142195343971
466,easily,0,"I get pregnant super-easily, David, trust me.",2.352787760173669e-06
467,easily,1,Easily worth at least a million dollars.,0.0003572850546333939
468,easterly,0,"Also, between the moon's position in the sky and the orientation of the shadows, I can tell you that she was moving in a southeasterly direction.",5.531482827336731e-09
469,economically,0,"Each of the victims, socio-economically, is lower to middle class.",6.366025928628005e-08
470,economically,2,Computers now allowed manufacturers to economically produce short runs of consumer goods.,1.7986304759979248
471,ecstatically,0,- Are you? - Ecstatically.,0.00010474483133293688
472,eerily,0,"You say ""lie."" I say ""eerily prophetic.""",1.45969707432414e-07
473,eerily,2,(EERILY) Avenge me. (PHONE RINGING),0.00010561469389358535
474,effectively,0,"Effectively an acquittal, but one which suggests a suspicion of guilt...",2.707529631607031e-07
475,effectively,2,"One of the things was this book he wrote, ''Training People Effectively''.",1.8151411040889798e-08
476,effectively,5,"Effectively, what my project deals with is Halley's Comet, and tracking Halley's Comet for the duration it'll be here.",1.9800258144186955e-07
477,efficiently,0,"- Efficiently done, Mr. Allen.",7.818539415893611e-07
478,effortlessly,0,"AND THIS IS SERAFINA--LANGUID, SEDUCTIVE, EFFORTLESSLY ALLURING, AND COLD AS A COBRA.",1.210703430842841e-07
479,elaborately,0,You spent weeks elaborately concealing the fact that you'd crashed daddy's car.,0.6419298052787781
480,elaborately,1,This is no simple fireside broadcast paid for by your dollars and dimes. This is an elaborately staged professional affair.,0.07798054814338684
481,electrically,0,"But this machine is safer. It will scan your mind, bio-electrically encrypting your thoughts so Bill can't read them.",4.229338212979883e-09
482,electronically,0,"Electronically transferred to the J.S.L. Partner bank of Switzerland, account number 569711008.",2.446692182189736e-09
483,elegantly,0,"If a courtesan is not elegantly attired, she will not exhilarate my husband.",1.4583954811096191
484,elegantly,1,This is the scene that our main character will die elegantly after finishing his revenge.,0.11217308044433594
485,elegantly,2,"""Get me out of here elegantly without ruining my reputation. """,0.6715234518051147
486,elegantly,4,So elegantly designed. Anyone can use it.,1.7461884021759033
487,eloquently,0,"Eloquently put, Mr. Masoudi, et al.",4.145932962273946e-06
488,eminently,0,"Mrs. Lovett, what a charming notion Eminently practical",4.7350813048296914e-08
489,emotionally,0,"Negligent oversight, Incompetent evaluation, Emotionally damaging For the family.",1.56326027678233e-08
490,emphatically,0,"(Emphatically) No, you had sex with my daughter!",4.754345805935145e-09
491,empirically,0,"Empirically, that is. I can assure you, Abigail's intelligence is not wrong.",6.855999856725248e-08
492,endearingly,0,The vets who fondle you so endearingly now.,0.5986703634262085
493,endlessly,0,"IT WILL CONTAIN A HYPNO-PHONETIC SENTENCE SO LONG AND SO CONFUSING, THE READER WILL BE FORCED TO REREAD IT ENDLESSLY OUT LOUD.",1.2299468110654743e-08
494,enduringly,0,May do wonders for the stick that's lodged up your enduringly stoic ass if you did.,0.24668484926223755
495,energetically,0,Energetically will I meet the enemies of my country.,0.008290115743875504
496,enormously,0,Enormously. Your wife and children are important to you?,1.0829182883753674e-06
497,entertainingly,0,"All semester, you've been entertainingly vocal about how crap she is at this solo, and now... I know why you hate her so much. I don't.",1.7436919212341309
498,enthusiastically,0,"""I ENTHUSIASTICALLY RECOMMEND HER ""AND WOULD BE HAPPY TO DISCUSS THIS REMARKABLE YOUNG WOMAN ""IN GREATER DETAIL.",1.8479894947631692e-07
499,entirely,0,"IF MY LIPS CAN TEACH THE PUBLIC THAT MEN ARE MADE MAD BY BAD TREATMENT, THEN MY LIFE WILL NOT BE ENTIRELY THROWN AWAY.",2.207938543108412e-08
500,equally,0,Equally divided between myself and Attorney Wakeman.,0.0017000478692352772
501,equally,1,"Equally, it sometimes needs a dagger, a scalpel wielded with precision and without remorse.",1.1682444522875812e-07
502,erotically,0,Erotically caressing each other on the...,1.54502117766242e-06
503,erratically,0,He wasn't driving erratically or over the speed limit.,0.016000354662537575
504,erratically,1,But I don't think that it was the stress of chasing Shales that caused Alex to start behaving erratically.,0.025698671117424965
505,erroneously,0,"It's what most people erroneously call the ""stomach flu.""",9.996912922360934e-06
506,essentially,0,"Essentially, they were black girls.",5.341106446010713e-10
507,esthetically,0,Danny finds Leo esthetically threatening.,0.4577827453613281
508,eternally,0,"In the unholy year of the Lords 1291, this place was damned Eternally damned as people were condemned to infernal pain The judge... no, judgement of Master Berengenario",5.712279715908153e-08
509,eternally,1,It's where souls that didn't make it to heaven suffer eternally.,0.3651321828365326
510,ethically,0,"Ethically, I can't reveal my source.",3.9178701172204455e-08
511,ethnically,0,"- Ethnically, I'd want a mix...",5.8272648928436865e-09
512,euphemistically,0,"Or operative, as we euphemistically call it.",0.027322590351104736
513,evasively,0,"He will return fire, he will drive evasively.",0.9223693609237671
514,evenly,0,"IN FACT, I'D SAY HE AND JUSTIN ARE PRETTY EVENLY MATCHED.",2.3404203020049863e-08
515,evenly,1,"Evenly distributed, don't have to pick or choose.",3.760922240303444e-09
516,evenly,4,Try and breathe as evenly as possible.,1.4191956520080566
517,eventually,0,"Every time our bodies produce cells, they wear down. Eventually, so do we.",4.799019404089222e-09
518,evidently,0,"Evidently, I'm recommending it to Vogue shoppers.",1.0730710764406126e-09
519,evilly,0,"Evilly and with full premeditation, with a speeding car... a fire poker... a pair of scissors... a toppled air conditioner... the lethal flames from an aerosol can... and, yes... even a leg of lamb.",2.807297860840663e-08
520,evilly,3,- I will not stand for this sort of abuse. -(LAUGHS EVILLY),8.764925951254554e-06
521,exactly,0,"Exactly, that's why I'm just, like, we're having lunch in broad daylight.",1.1206375916117395e-07
522,exactly,1,Nicky gave the bank teller a note asking for exactly $933.,1.369239091873169
523,exceedingly,0,"I confess to Almighty God, to Blessed Mary, ever Virgin, to St. Michael the Archangel, to Blessed John the Baptist, the Holy Apostles... Peter and Paul, and to all the Saints, and to you, Father, that I have sinned exceedingly in thought, word, deed, and omission...",8.694946984633134e-09
524,excellently,0,"Does this do, um... ..what we both know to be right, Frederick? It does, Sir Henry. Excellently.",2.3691123715252616e-05
525,exceptionally,0,I tasted almonds in my coffee. Real bitter. Exceptionally bitter.,6.261994656142633e-08
526,exceptionally,2,"Exceptionally, we'll walk to your office.",3.5882561633115984e-07
527,excessively,0,"Excessively passionate, sometimes too passionate... and often too meek... timid and brave.",6.060120183448703e-10
528,excitedly,0,"[Everyone Talking Excitedly] Hey, everyone look!",1.1537863997546083e-09
529,excitingly,0,We could make you excitingly famous.,1.4998552799224854
530,exclusively,0,We're dating non-exclusively. He's not my boyfriend.,4.056882474401391e-08
531,exclusively,2,"""Exclusively obtained an image of the knife suspected to be the murder weapon""",2.335008701948027e-07
532,excruciatingly,0,It's deliberate. Excruciatingly painful process.,6.155828486953396e-07
533,exhaustively,0,"A true stoy,exhaustively documented in the fine newspapers of Mr. William Randolph Hearst",1.6605723430984654e-05
534,exorbitantly,0,"The other barber, is terrible at his job and charges exorbitantly for his services.",0.006321256514638662
535,expectantly,0,"""She looks up at me expectantly and I know what will happen next.""",0.15207745134830475
536,expeditiously,0,PLEASE DELIVER A SUBSCRIPTION OF YOUR NEWSPAPER TO ACME LABS. EXPEDITIOUSLY.,4.3602035475487355e-06
537,explosively,0,human numbers and civilization will advance explosively.,0.057305894792079926
538,exponentially,0,The higher numbers represent. Exponentially higher intensities.,4.6789376938249916e-05
539,expressly,0,"Expressly in order to lead them here, out into the middle of nowhere, where no ship sails.",2.2007728972539553e-08
540,exquisitely,0,"""The feelings you have aroused within me"" ""are at once delightful and...exquisitely...painful.""",8.432680260739289e-07
541,extensively,0,"Dr. Dwayne Sotter, an academic who's written extensively about immigration policy;",0.00011756558524211869
542,extensively,1,"Captain, there is so little haemoglobin in my green blood, the creature could not harm me extensively.",0.0019386943895369768
543,externally,0,Animals in which the female's eggs are fertilised externally.,2.564589500427246
544,externally,1,"Okay, so no attempts to externally access the system?",1.345794439315796
545,externally,2,"Externally, Jake has male organs.",5.0438522691820253e-08
546,externally,4,"Externally he has minor burns, the problem are internal injuries of the lung.",2.468705133651383e-07
547,extravagantly,0,"Ramses showed great courage, but if you had such a hothead in your ranks would you praise him so extravagantly?",0.0029824068769812584
548,extravagantly,2,"As the captain's wife, it wouldn't be proper to dress too extravagantly.",0.0013409405946731567
549,extremely,0,"Penzarella. No, no, no. Extremely pro-development and loves the idea of this project.",1.390727710770534e-08
550,fabulously,0,The wine we drank from a magic glass in the magic tavern was fabulously excellent!,1.749512791633606
551,fabulously,1,"WELL, SHE WAS JUST FABULOUSLY FIRED FROM HER JOB.",5.876233277746223e-09
552,facetiously,0,"More often, and less facetiously,",1.2424805164337158
553,facially,0,"I'm Captain Bill Birdell and... well, my facially wounded friend here is Captain Tom Stratton.",1.759878396987915
554,facially,1,Does she dislike me facially or like me bottomly?,1.8454406261444092
555,faintly,0,"Holy Father, [faintly] I must speak with you.",5.638694346998818e-07
556,faintly,2,Am I crazy or do these cards smell faintly like urine?,0.012530118227005005
557,faintly,3,Faintly irritating upper-class manner ...,1.0727242624852806e-05
558,faintly,4,The atmosphere around the painting is so faintly designated that it seems to disappear before one can grasp it.,0.2161310762166977
559,fairly,1,But in your affection for me and mine for you... ... Ihopeyouwilljudgemefairly .,8.341319244209444e-07
560,fairly,2,"[ ♪ ] SOMEHOW OR OTHER, IN AMERICA, SPELLING, ALTHOUGH IT'S A FAIRLY MECHANICAL PROCESS,",4.5087844569025037e-10
561,fairly,3,"Along with the advertising director, he surveyed the grounds, fairly positive action.",2.036445140838623
562,fairly,6,"Now, in my dissertation I spent about a chapter... on how fairly vituperatively citing today's guest... in saying why I thought she was wrong.",2.58290958404541
563,fairly,7,All I want is to be fairly compensated.,1.6185457706451416
564,fairly,8,Do you want 'em divided up fairly or not?,1.320626974105835
565,falsely,0,"Falsely accused, wrapped up in hysteria one pointing to the next, who pointed to the next buttheywereall , allinnocent.",2.5463833264183222e-09
566,familiarly,0,I speak low and familiarly to those who want to listen.,3.071101427078247
567,famously,0,It's the young Marquis de Saint-Loup-en-Braye. Famously elegant!,1.8818154146060806e-08
568,famously,2,"How are you and the genial doctor getting along? Famously, I'd say.",5.111123257961481e-08
569,fanatically,0,Fanatically dedicated to the overthrow of democracy wherever it exists.,0.00048559813876636326
570,fantastically,0,"THAT, PINKY, IS A FANTASTICALLY POWERFUL DOLL.",3.615924981659191e-08
571,fantastically,2,"When 'a was naked, he was, for all the world, like a forked radish, with a head fantastically carved upon it with a knife.",1.6686320304870605
572,fastidiously,1,I assume you've all been fastidiously listening?,1.6183969974517822
573,fatally,0,"Fatally so, if you're allergic to it. You know the use of the term "" nontoxic""",1.2821329775647428e-08
574,fatally,1,"In self-defense, I fired twice, Fatally injuring both perpetrators.",1.2485187106392459e-08
575,fearlessly,0,"""Fearlessly heroic and bold dare-devil that he is"" ""Lieutenant Kurokawa approached the enemy alone to defeat them.""",9.101552223000908e-07
576,fearlessly,2,"Fearlessly you have blazed new trails, scoffed at the lions' roar and the cannibals' tom-tom.",1.3355434020922985e-06
577,feasibly,0,Have an unfeasibly large cock.,1.832476118579507e-05
578,federally,0,"Federally funded lab, government-owned property...",3.003795256972808e-08
579,federally,1,You two compromised the identities of federally protected witnesses?,1.6526236534118652
580,feebly,0,You were just watching when she was fired feebly.,1.5637660026550293
581,feelingly,0,"Indeed, to speak feelingly of him, he is the card or calendar of gentry.",3.989750862121582
582,ferociously,0,"The railway station poet sent me to see a certain Mr. Puiutz, alias Pepe, a man he described as ""ferociously clever"".",3.407311766068233e-08
583,ferociously,1,"Ferociously powerful killing machines, single-minded as animals.",9.161632341658787e-09
584,fervently,0,Of the many thousands who sang through that long night of winter it was Memphis who cried out most fervently to turn the Earth and bring back the sun.,0.0003991212579421699
585,fervently,2,"hooligans, thugs, fervently idealistic students, swarming adolescents, just the kind of thing you see around Obama.",0.0017026932910084724
586,feverishly,0,"Now we're working, of course, very feverishly on the script.",0.0007390667451545596
587,fiendishly,0,He can explain. Fiendishly clever.,0.0004058934864588082
588,fiercely,0,THE ROMAN CHURCH CONTINUED TO FIERCELY PERSECUTE THE WALDENSIANS.,6.299334387449562e-09
589,fiercely,2,"After Master See's death, the triad gangs in Shanghai fought fiercely among themselves, Shanghai was again in social unrest",9.327953739557415e-05
590,fiercely,3,"So, the wind blows fiercely on him, but the traveler just pulls his coat tighter-",0.0043231588788330555
591,fiercely,4,It's a fiercely male-dominated environment. You take on the men. You battle your way up and become... a manager.,0.027015965431928635
592,fiercely,5,Fiercely discussing the status of the priesthood.,6.263305840548128e-05
593,fiercely,6,"This is Fiercely, 6M6, take three.",1.829400753194932e-05
594,fiercely,9,It'll make your eyes look fiercely green.,0.03947552666068077
595,figuratively,0,"Then, when cousin and I beat those Fitzpatricks to a bloody pulp (figuratively speaking, of course), it'll all be in the family.",6.963204413068524e-08
596,finally,0,"Finally, every agent gets a night vision scope... hidden in their watch.",1.402270299877273e-09
597,financially,0,"True, but Kia is a very successful woman youaredependentonherfinancially...",2.087688244500896e-08
598,finely,0,"A Finely chiseled rock, but a rock, nonetheless. It can't make you many friends.",6.6344854054989355e-09
599,finely,1,"Finely done, cousin, I must say.",4.382294719107449e-05
600,finely,2,Finely slice oranges and grate zest.,1.435775516256399e-07
601,finely,3,He stood there pitifuly thin... Finely dressed.,0.0003213781164959073
602,finely,4,"You shine so finely, it surpasses understanding.",1.0731868743896484
603,finitely,0,"At least that's the story I'm telling myself, because all he talks about is ""futebol"", an he's efinitely warming my bench.",3.815124500761158e-07
604,firmly,0,"WE AT EXXON FIRMLY BELIEVE THAT A FREE MARKET WILL, IF LEFT TO ITS OWN DEVICES, ALWAYS FINDS SOLUTIONS TO THE DILEMMAS",4.924789323013101e-07
605,firmly,1,"NEXT, GRASP THE SHAFT FIRMLY WITH OUR RIGHT HAND, LEFT IF WE'RE A SOUTHPAW;",1.9925753491634168e-08
606,firmly,3,"Now, with our eyes fixed firmly on our adversary, you creep forward.",2.5305700302124023
607,firmly,4,"In a tense situation, if you speak firmly with a gun in your fist nobody will answer back.",3.769326686859131
608,firstly,0,"Firstly, 76% of all murder victims know their assailant.",2.0349535390096207e-09
609,fiscally,0,"Do you recall rejecting a small business loan... for a zip line snack transportation system... calling it... and I quote... ""fiscally irresponsible""?",2.02260207515792e-06
610,fittingly,0,"and tonight, as her editor, I am thrilled to announce that marin's third book has been optioned, called--fittingly--",1.1598425331271756e-08
611,flagrantly,0,They wonder if their sons are still alive... and why the world sits back... and allows the Vietnamese government... to flagrantly violate the Geneva Convention.,2.365757942199707
612,flatly,2,( Flatly ) We're being immature and selfish and Emma deserves better.,3.590641313166998e-07
613,flippantly,0,Last year when we were at Gabe and Judy's and we announced so flippantly we were splitting...,0.015051120892167091
614,fluently,0,This is called So You Want to Speak Spanish Fluently in Five Minutes. My fluency is hours overdue.,1.7288318332475683e-08
615,fondly,0,"Fondly. He referred to you as ""the cute little Jewish kid with sandy hair and hazel eyes.""",5.961795750408783e-07
616,foolishly,0,"Foolishly, we thought our allies would protect us, but on the day of battle, the other prides abandoned us.",2.18592077771973e-09
617,forcibly,0,"- Forcibly, by the electorate.",1.6050304196824072e-08
618,formally,0,"Hell, fact you know what ""formally"" means, well, we're good.",1.516311158411554e-06
619,formally,1,"Formally, it is the same session, so you may yet exercise your veto on the motion.",1.9099090309282474e-08
620,formally,2,"Corinne, have you ever been formally diagnosed?",1.879856824874878
621,formally,3,- Though perhaps a little less formally attired.,3.2380471229553223
622,formally,5,He was arrested but never formally charged with assault.,0.8764062523841858
623,formerly,0,"Formerly known as the Spice Islands, indicating they smell very good.",1.8968770998384343e-09
624,formerly,1,"Let me introduce myself formerly, Trish.",1.2520767450332642
625,fortuitously,0,"Fortuitously, this individual is due to be visiting your establishment, fancies girls that remind him of his...",1.3380689779296517e-05
626,fortunately,0,"Fortunately, our case against Stephen Orlac doesn't depend on fingerprints.",4.67602179199389e-10
627,foully,0,"Your actions have been foully and unworthy, Asterix!",0.03617212176322937
628,foully,1,"For two months, we have mourned the good King Edwin... who by the cruel Viking Ragnar was foully murdered... and still lies unrevenged.",2.305053949356079
629,fourthly,0,Fourthly... the fez will be prohibited.,1.4904585441399831e-06
630,frankly,0,"Frankly, myself. My style is original, personal",2.3406920846014145e-10
631,frantically,0,"[frantically chittering] So, Little Timmy has fallen down the well?",2.2384137210451627e-08
632,fraudulently,0,"In between those divorces, I was married, non-fraudulently, for 12 years total, which is 12 years longer than anyone in this room.",1.3953534327981743e-08
633,freakishly,0,"So Let Me Give You Fair Warning, My Freakishly Tall Girlfriend,",1.3340153870444738e-08
634,freely,0,"Mr. Pip, you have been spending pretty freely of late, and you are in debt, of course.",2.6724579334259033
635,freely,1,"My future is in a green part of the Earth, big enough where I can roam freely.",0.07928155362606049
636,freely,2,"Oh, sir... there's something else I heard... The quality of koban, the contents of them can be played around with by the Officer in charge of the Shogunate Mint. Freely... to suit his taste...",1.511292424538624e-07
637,freely,3,"Well, if McFreely isn't responsible for this, what's his next move?",1.5452530988113722e-07
638,freely,4,"""Nor must you take anything from your brother,"" ""except what is given freely.""",1.4648488759994507
639,freely,5,"DANIEL WAS GIVENTHE REINS OF POWERFREELY, BY THE PEOPLE. ONE LEADER, ONE VOICE.",7.446242733522013e-09
640,frenetically,0,"King, Bishop, courtiers, the whole village could not help but to dance frenetically.",0.019556952640414238
641,frequently,0,THE WALDENSIANS WERE FREQUENTLY EMPLOYED IN HAND-COPYING THE SCRIPTURES.,3.124672431908948e-08
642,freshly,0,The victim had a freshly-lit cigarette.,0.9579157829284668
643,freshly,2,- Freshly squeezed. - Fresh squeezed.,1.447414099686739e-08
644,freshly,5,We are going to show our freshly reinstated Archbishop that we can still do without him.,0.22113335132598877
645,freshly,6,"- Freshly squeezed, my love.",2.068542016786523e-06
646,frighteningly,0,"What do you mean, ""frighteningly lonely""?",2.2388991283150972e-07
647,frivolously,0,"WHILE YOU WERE FRIVOLOUSLY SPENDING MY FUNDS, I ORDERED EVERY PERIODICAL ON THE PLANET.",1.2041080310609686e-07
648,frugally,0,"We have lived frugally, although our late father was not devoid of means.",0.00288313627243042
649,fruitlessly,0,Fruitlessly trying to rectify a ratty transgression.,0.000283752684481442
650,fully,0,"Fully researched and everything, huh?",6.367543825547273e-09
651,functionally,0,"Functionally, I'm just like you.",0.0033359327353537083
652,functionally,2,The issue is how do you functionally implement this.,2.2386574745178223
653,funnily,0,"Funnily enough, that remains the number-one motive for murder.",1.4177557794425866e-08
654,furiously,0,"My heart is now a huge sponge soaked in pus, furiously attacked by worms.",0.5835838317871094
655,furiously,1,I'm furiously enjoying being challenged.,0.4347648024559021
656,furiously,4,"He always seemed lost to me, paddling furiously just to keep afloat.",2.0278916358947754
657,furtively,0,"Furtively, we'll scoff and quaff Stealing what, in truth, is mine",1.0706677358029992e-06
658,futilely,0,The exact same moment that I'm futilely trying to give her an LP?,0.2656720280647278
659,gaily,0,"Let's see: ""Gaily bedight, A gallant knight,",1.9799285766453067e-08
660,gaily,1,"* Ultra-swinging, boner-bringing * * Gaily singing, dingalinging *",4.190454094832319e-10
661,gaily,3,"I am gaily shvitzing away the kilos, you know?",3.511078357696533
662,gaily,4,Why don't you let butterflies withgailycolouredwings fly free in the clear skies?,3.3264402645727387e-06
663,gallantly,0,"Gallantly streaming and the rockets' red glare * * the bombs bursting in air * * gave proof through the night * * that our flag was still there * * oh,say,does that star-spangled *",4.3817559003400675e-07
664,gamely,0,"- Hi, I'm Virginia Gamely.",2.131091036972066e-07
665,generally,0,"Generally, you will not allow this man ...",2.4098545381434633e-09
666,generically,0,"It's a righteous, generically American film movement that went from 1945 to 1958 and exposited one great theme.",2.8060343265533447
667,generously,0,Generously provided by the taxpayers of Whoville!,2.3171789109710517e-07
668,generously,1,A house in Bel Air with a generously sized swimming pool.,0.11164583265781403
669,generously,2,I am making chicken breasts... ooh. Generously seasoned with paprika.,1.8435789570503403e-06
670,genetically,0,"WHILE YOU WERE BUILDING THE 7 BLUNDERS OF THE WORLD, I WAS BUSY GENETICALLY ALTERING THESE SEEDS.",7.95115173701788e-09
671,gently,0,"♪ Row, row, row your boat. ♪ - Gently down the stream. ♪ ♪",2.3194147991123515e-10
672,gently,2,"Gently, If it is to do something against the Grand Duke me I walked more!",5.825479547638679e-07
673,gently,4,Gently in the night of one fine day.,0.005896981805562973
674,genuinely,0,"DO YOU REALIZE THAT OUTSIDE OF YOU AND URSULA, HE'S THE FIRST PERSON TO HEAR MY POETRY AND HE GENUINELY LIKED IT?",8.139404172879949e-08
675,gingerly,0,"Gingerly, we rejoined the open road.",3.606395466704271e-07
676,gingerly,1,"I'll do it alone, and I'll do it gingerly.",0.3195537328720093
677,gladly,0,"Gladly! Basile, give him water as they wish.",1.663672399843108e-08
678,glaringly,0,There were glaringly obvious markers of human intervention in the code.,0.009672889485955238
679,glibly,0,"Please do remember this moment, and the opportunity so glibly spurned.",0.3548341691493988
680,globally,0,"Globally 200,000 people a day are moving from environments that have sustained them for generations, into cities, many to live in slums, looking for work, no matter how toxic that work may be.",1.607495114797075e-08
681,gloriously,0,"And run to these camas, and dahlias, so colorful, it hurts your eyes and these gloriously purple salvias that go on flowering until the frost claims them.",0.8002362251281738
682,gloriously,1,Hosogawa is gloriously ruled by a Samurai,0.6948398351669312
683,gloriously,2,It's a wonderful idea. Gloriously simple.,1.5227582480292767e-05
684,gloriously,3,Did the fat lady sing her high C and expire gloriously?,0.9495589137077332
685,gorgeously,0,"Gorgeously drawn horses, bison, rhinoceros, lions, because, 40,000 years ago, this is what was going on there.",2.5926251367991426e-08
686,graciously,0,GUESS WHICH FORTUNE 500 COMPANY SO GRACIOUSLY CAME IN AND PURCHASED THE LAND AFTER IT HAD BEEN PUMMELED,5.508690037459019e-07
687,graciously,2,"They allow us to live graciously with each other but the most important is that, thanks to them we can forgive ourselves.",0.1784546971321106
688,gradually,0,"Gradually, as my chorus takes shape, I bring my new singer out of his shell,",5.89605697598472e-09
689,grammatically,0,"Grammatically correct in the depths of despair, I'm impressed.",1.2319800589466467e-05
690,grandly,0,Marry your daughter off grandly,1.6368271112442017
691,grandly,4,YOU'RE SUPPOSED TO GESTURE MORE GRANDLY.,5.198369035497308e-05
692,graphically,1,"When it's hooked up to this device, it projects what the mind is seeing holographically.",7.197674989356528e-08
693,graphically,2,"However, the findings will have no therapeutic consequences... due to sonographically identified hepatic secundaria.",5.950710146862548e-09
694,graphically,4,"* POLICY-WISE, DEMOGRAPHICALLY SPEAKING *",1.2523224235394537e-08
695,gratuitously,2,"Gratuitously, out of the blue, he called me a post-colonialist displaying paternalistic and racist scorn for Muslims.",1.6215750520132133e-08
696,gravely,0,"Gravely: So, sampson never forgets And sees an opportunity for revenge",3.5146253907214486e-08
697,gravely,1,"Miss Gravely and the tramp and the man who was reading the book, Dr. Greenbow.",2.0017253632431675e-08
698,gravely,2,"Gravely, this is my doctor, deb. Back in his home country of tandooristan,",5.745838915771628e-09
699,gravely,3,"It's simple... a very bad man shot Gravely, then he shot me, then I shot him.",4.611309734059432e-08
700,gravely,5,"Gravely: Oh, my god. It's pervert heaven.",3.433366302374452e-08
701,gravitationally,0,Because this universe has so much matter that it gravitationally warps space closing it back on itself into a sphere.,0.06771895289421082
702,greatly,0,KING SIGISMUND WAS GREATLY ANGERED AT THE IMPRISONMENT OF HUSS AND HE THREATENED THE CHURCH COUNCIL,1.534639159217477e-05
703,greatly,2,The rumors of my bonkertude have been greatly exaggerated.,1.7512092590332031
704,greedily,0,Greedily I retained his gold,0.0016969881253316998
705,greedily,1,They burn the heart out of themselves by living too greedily.,0.019281936809420586
706,greedily,2,"Her pussy was a neat, discreet little cleft... but as soon as the animal within... was roused by my caresses, it would stir... draw aside the silken curtain covering its lair... and become a carnivorous flower... a baby's mouth... greedily sucking my finger.",2.002164592340705e-06
707,greenly,0,"Okay, Mrs. Greenly, it's time to wake up. Okay, Nancy?",3.575043194814498e-08
708,grievously,0,"If it were so, it was a grievous fault, and grievously has Caesar paid for it.",0.0034938787575811148
709,grievously,2,"Now, the success of our assault relies on numerical superiority, so when a man falls grievously wounded, don't stop and offer assurance or assistance.",0.0037295783404260874
710,grimly,0,"Deputy Grimly-- Oh, that's the fella.",9.112579846259905e-07
711,grimly,2,"Lock that shit down, Grimly.",5.99129407419241e-07
712,grimly,5,They settle down grimly and try to sit each other out.,2.170342445373535
713,grossly,0,Grossly-abnormal high-altitude electrostatic disturbance - moving down over Connecticut.,6.999305135479972e-09
714,grossly,1,They pit grossly muscular warriors with cartoonish names against accountants and dental hygienists in feats of strength.,4.883354187011719
715,grotesquely,0,"""The testing we witnessed is more cruel, more grotesquely evil than the American people could ever imagine. """,0.004785191733390093
716,grotesquely,1,## Grotesquely swollen jaw ## ##Steve Sax ##,1.6686592516634846e-06
717,grudgingly,0,"I, uh, I'm... formulating a lie, realizing it's futile, begrudgingly telling the truth?",2.7716898998164652e-08
718,gruesomely,0,"Night after night, the players died gruesomely and then came back to life again for the next show.",4.711479663848877
719,gruesomely,1,"She identified Detective John Kelly as witness to a meeting between Licalsi and Gina 's boyfriend, Richie Catena who has since been gruesomely murdered.",1.455522060394287
720,gruffly,0,"(GRUFFLY) I don't mind, Mom.",2.3775444901730225e-07
721,guardedly,0,You stung me to speak unguardedly.,6.0270962421782315e-05
722,guiltily,0,And you loved her guiltily?,0.002544212155044079
723,habitually,0,Do you eat? - Habitually.,0.00019498670008033514
724,half-heartedly,0,How could I rejoice half-heartedly?,0.4680691659450531
725,haltingly,0,"[Haltingly] Yes, I was just trying to do my job as a food critic, and they all ganged up on me and said I was fat.",1.6571902961004525e-08
726,handily,0,"All the ships are clearing the harbor very handily, Admiral.",2.7844486236572266
727,handily,1,You seem to have defeated them handily at every turn.,2.19599986076355
728,handsomely,0,- Handsomely? . Who sent you?,8.084661385510117e-05
729,handsomely,1,The decision paid handsomely when the film became a hit and she was nominated a third time for a Best Actress Academy Award.,0.06720549613237381
730,handsomely,2,HOW WOULD YOU LIKE TO BE THE FIRST ON YOUR BLOCK TO OWN A SET OF THESE HANDSOMELY PRINTED TRADING CARDS WITH MY PICTURE ON THEM?,4.565084168461908e-07
731,handsomely,3,WHAT WOULD HE THINK OF YOU SELLING ME THE ANTIDOTE WHEN HE PAID SO HANDSOMELY FOR THE POISON?,4.3026847151850234e-07
732,handsomely,5,If you'll join Honor Court to eradicate Bao you'll be handsomely rewarded,0.01817571371793747
733,haphazardly,0,"Not giving away state secrets haphazardly. And isn't it beneath you to print the petty, trite garbage of a Secret-level analyst?",0.00027296424377709627
734,haphazardly,2,And tap that pile of receipts against a flat surface so they're not sticking out haphazardly!,8.233095286414027e-05
735,haply,0,"Haply your eye shall light upon some toy You have desire to purchase and your store, I think, is not for idle markets, sir.",8.439248233571561e-08
736,haply,1,"Haply, for I am black...",7.824552739066348e-08
737,haply,2,"Haply the seas, and countries different, with variable objects shall expel this something-settled matter in his heart whereon his brains still beating puts him thus from fashion of himself.",2.162293810670235e-07
738,haply,3,"Haply some poison yet doth hang on them, to make die with a restorative.",1.0394825267212582e-07
739,happily,0,"'Happily, Clarkson soon got a bit of payback.'",3.406247373050064e-08
740,happily,1,A weekend in the country Happily we endorse,4.977754315405036e-07
