adverb,type,sentence,correct,
impulsively,adverb.subject_oriented,"Impulsively, Holly just gets Rebecca involved in it.",yes,
incessantly,adverb.frequency,"Incessantly persecuted by the authorities, the magicians themselves disappeared in the 18th century.",yes,
incidentally,adverb.speaker_oriented,"Incidentally, you never told me... are you married?",,
incontrovertibly,adverb.speaker_oriented,The process of decompression will incontrovertibly alter Senior Chief de la Rosa's body chemistry.,,
inconveniently,adverb.manner,The meeting was scheduled inconveniently for most attendees.,yes,
incredibly,adverb.degree,"He ran incredibly fast, breaking the record.",yes,
incredibly,adverb.degree,The movie was incredibly long.,yes,
incredibly,adverb.speaker_oriented,"Incredibly, he volunteered for extra work.",yes,
indeed,adverb.contrast,"It was a challenging project, indeed.",yes,
indirectly,adverb.manner,"The politician responded indirectly, dodging the central question.",yes,
individually,adverb.domain,"Individually, they all have amazing powers, but... as a team, they cannot be stopped.",yes,
infernally,adverb.degree,It's infernally cold up here.,yes,
initially,adverb.temporal,"Initially, Dalia said the same thing about collagen treatments, but I got her to come around.",yes,
inordinately,adverb.degree,"And when he visits San Francisco next weekend, despite his inordinately busy schedule, he's requested a special concert here on Sunday night.",yes,
insanely,adverb.manner,"""The fans were cheering insanely.""",yes,
insanely,adverb.subject_oriented,"""Insanely, he bet his entire savings on one hand of poker.""",yes,
insanely,adverb.degree,"""The special effects in that movie were insanely good.""",yes,
instantly,adverb.temporal,"Would mean you're done,like,instantly gone.",yes,
instead,adverb.contrast,I didn’t buy the red dress; I chose the blue one instead.,yes,
instinctively,adverb.subject_oriented,"Instinctively, he picked up the toddler, thinking the killer might still be in the house.",yes,
institutionally,adverb.domain,"Mr. Reynholm, I don't need to remind you of the report that denounced Reynholm Industries as an institutionally sexist organization.",yes,
insultingly,adverb.degree,"That is an insultingly accurate stereotype, sir!",yes,
intellectually,adverb.domain,"Intellectually, it's quite stimulating, and I like swinging a bat.",yes,
interestingly,adverb.speaker_oriented,"Interestingly there was a man on my executive committee, he was a very well-known actor and singer named Burl Ives.",yes,
intermittently,adverb.frequency,"Intermittently, and without warning, I will attack you whenever and wherever it is least expected.",yes,
internally,adverb.spatial,You have no idea how long I've been wrestling... internally with the psychological repercussions of my feelings.,yes,
intranasally,adverb.spatial,"- Okay, 20 milligrams intranasally.",yes,
intuitively,adverb.speaker_oriented,"Intuitively, you would say the same thing that killed him - exposure to radiation.",yes,
inwardly,adverb.spatial,"""Beware of false prophets, who come to you in sheep's clothing. Inwardly they are ravening wolves.""",yes,
ironically,adverb.speaker_oriented,"Ironically, his name was also jack.",yes,
irresistibly,adverb.degree,"The nectar causes their bodies to produce female butterfly hormones, building up their flapping muscles, but also making them irresistibly attracted to Fry.",yes,
irresponsibly,adverb.manner,The pilot flew irresponsibly despite the severe weather warning.,yes,
irritatingly,adverb.degree,Like irritatingly bad timing.',yes,
jealously,adverb.subject_oriented,"Jealously, he asked where she was.",yes,
journalistically,adverb.domain,"As you said, it's not much of a story, journalistically speaking",yes,
judicially,adverb.domain,"It's an aggressive approach, exploiting the weaknesses of our plaintiff's case, and I think judicially we'll find favor...",yes,
just,adverb.focus,I just finished writing my report.,yes,
keenly,adverb.degree,"Keenly aware of the tremendous problems ahead is Dr. Robert H Felix, director of the vast new project.",yes,
kindly,adverb.manner,"Kindly restrain your language, Behie.",yes,
kindly,adverb.manner,"""The nurse spoke kindly to the frightened patient.""",yes,
kindly,adverb.subject_oriented,"""Kindly, the stranger offered to help me carry my bags.""",yes,
largely,adverb.manner,"and a war composed largely of american defeats is now remembered for a victory at new orleans, old ironsides,",yes,
lastly,adverb.speaker_oriented,"Lastly, if you consider the soul divine, then love, serve, praise",yes,
laterally,adverb.spatial,"Laterally, the mesh covers the abdominal wall, reflects on the iliopubic tract, and covers several centimeters of the psoas.",,
legally,adverb.domain,"In ""Legally blonde,"" Elle won her case because she was true to herself and dressed cute.",,
legally,adverb.manner,The company operated legally under all current regulations.,yes,
lightly,adverb.manner,To suggest that people take this kind of action lightly is ridiculous. ,yes,
lightly,adverb.degree,A lightly colored car.,yes,
linguistically,adverb.domain,"Linguistically, it may mean God judges the victim for his sins...",yes,
literally,adverb.speaker_oriented,"I know everything about this town and these murals, and that's why this is a dream come true... Literally.",,
locally,adverb.spatial,"Locally, their universe still looks flat enough.",yes,
logically,adverb.domain,"Anthropologically speaking, homosexuality is not a prerequisite for cross-dressing.",yes,
logically,adverb.manner,"Given the data, the scientist reasoned logically before making conclusions.",yes,
loyally,adverb.subject_oriented,Loyally he follows the King.,,
luckily,adverb.speaker_oriented,"Luckily, this is not a formal debate, and you are a butt face.",yes,
ludicrously,adverb.degree,"Even though it's ludicrously obvious to everyone around you, you two will go on pretending it's not true because you're emotional infants!",,
luxuriously,adverb.degree,"15 bucks for a luxuriously creamy pussy-ass daiquiri, motherfuckers.",yes,
lyrically,adverb.domain,"♪ Lyrically, I'm on point, flowing double joint ♪",yes,
madly,adverb.speaker_oriented,"Madly, as you can see.",,
madly,adverb.manner,"""The crowd cheered madly when the team scored.""",yes,
madly,adverb.degree,"""He is madly in love with her.""",yes,
madly,adverb.subject_oriented,"""Madly, the king ordered the execution of his own advisor.""",,
magically,adverb.domain,We are pushing the boundaries of what is magically possible.,,
magnanimously,adverb.subject_oriented,You Yang boys are each worse than the last. The first five died for me magnanimously.,,
mainly,adverb.degree,"Mainly heart attack-inducing toxins, kertotic acid, sodium morphate.",,
majestically,adverb.manner,-Majestically walking,yes,
manifestly,adverb.speaker_oriented,But this is manifestly not the Garden of Eden.,,
marginally,adverb.degree,It's marginally better.,yes,
markedly,adverb.degree,Markedly high levels of insulin in the tissue surrounding the injection site.,,
marvellously,adverb.degree,"- Oh, yes, yes. Marvellously well.",,
marvelously,adverb.speaker_oriented,Marvelously... It's nice to say ''Let's be multifold!,,
massively,adverb.degree,"- Right, Nate? - Massively cool, Bob.",,
materially,adverb.degree,These new terms... the white for immortality... do not materially affect our agreement.,,
materially,adverb.domain,Materially Pierre Maréchal has no more resources.,yes,
maturely,adverb.domain,That it's maturely(? ) impossible that this revue(? ) was in that room 4 years ago.,,
maximally,adverb.degree,"Two years ago, Lynn Monkford had a low-grade glioma maximally debulked.",,
mechanically,adverb.domain,"Mechanically, the computer is flawless.",,
medially,adverb.spatial,"Moving medially, the body and the head of the pancreas look clean--",,
medically,adverb.domain,"man, when are you gonna learn it's medically proven that good gin cleanses your soul out?",yes,
mentally,adverb.domain,"She's a complete alcoholic. Mentally unbalanced, and, I would say, retarded.",yes,
merely,adverb.degree,"- Merely carried out orders of real killer, Paul Narvo.",,
merely,adverb.focus,"He’s merely a beginner, but he’s improving quickly.",yes,
metaphorically,adverb.domain,Metaphorically dead or dead dead?,yes,
microscopically,adverb.domain,Fibers under Eduardo's nails are microscopically similar to 60-pound kraft paper which is used for everything from grocery bags to wrapping paper.,,
mightily,adverb.degree,She found it mightily interesting.,,
mildly,adverb.degree,"I think ""mildly entertained"" would be the best way to describe the reaction here at the after-party.",,
militarily,adverb.domain,"Militarily, there are three-- surgical strike on the missiles, an attack on the missiles and the control-and-command centers throughout the island, or an all-out invasion of the island.",,
minimally,adverb.degree,"Any fucking king of the gypsies will 'anger also foam and threaten women, but sbattero 'inside as any other suspect just infrangera ' Minimally a law, or does not show 'enough compared to this, which, please God, is stupid enough to do.",,
minimally,adverb.speaker_oriented,"Minimally, I'd say we're looking at restricted duty.",yes,
minutely,adverb.frequency,"Mrs. Putney, while I enjoy The instructive, whimsical, educational e-mails That you send me on an almost minutely basis...",,
miraculously,adverb.speaker_oriented,"Miraculously, he was saved, but... then he choked on some grapes.",,
mistakenly,adverb.subject_oriented,And then.. it set their backs on fire. - Mistakenly!,,
moderately,adverb.degree,Moderately fertile or very fertile?,,
modestly,adverb.degree,"Well, I, uh, I don't like to brag about it, but I did publish five modestly successful children's books.",,
modestly,adverb.speaker_oriented,"Modestly, I have good taste. - Yes, you do.",,
momentarily,adverb.temporal,"Momentarily, I'll exit and return with accused cop killer, Jimmy Clayton.",yes,
monstrously,adverb.degree,"""who witnesses are describing as 'monstrously deformed,' may be a relation, sources say.""",yes,
monthly,adverb.frequency,"Then eight months ago, he opens a savings account, and he gets once-monthly direct deposits from some company in the Caymans.",yes,
morally,adverb.manner,She chose to act morally even when it cost her career advancement.,yes,
moreover,adverb.contrast,"He is a talented singer; moreover, he can play the piano.",yes,
mortally,adverb.degree,"I am mortally offended, gentlemen, that you partake my generosity and yet continue to conspire against me.",yes,
mostly,adverb.frequency,"Mostly during the day when he's at work, um, but we are both from Sierra Leone, so...",yes,
multiply,adverb.degree,"The thyroid, cricoid and arytenoid cartilages are all multiply fractured.",yes,
murderously,adverb.degree,"Were you or were you not head of the narcotics consortium, the murderously bloody CMB?",,
musically,adverb.domain,"Musically, of course, when you go and you see a band, and you know it's coming from the heart, it touches you more because there's some sort of human connection.",yes,
mysteriously,adverb.speaker_oriented,"yeah, well, my hotel room was mysteriously canceled.",,
naively,adverb.subject_oriented,"In 90, we have guelfe, place of the university, Naively thinking that we could change things And that one could drag before justice",,
namely,adverb.speaker_oriented,"Namely, Chinese people and people from Craggy Island.",yes,
narrowly,adverb.degree,"Sports columnist, Ray Barone, while on a citizen ride-along... 'narrowly escaped gunplay when an armed robber....'",,
nationally,adverb.domain,"Nationally, you're taking up the cause of the forgotten...",yes,
naturally,adverb.speaker_oriented,"Naturally, it didn't take the cops long to seal off the building.",,
necessarily,adverb.speaker_oriented,"It's here in our camp, among Us all day, because we hear them All day, but you can't Necessarily see them all the Time",,
needlessly,adverb.degree,"This feels... Needlessly risky, like we haven't thought it through enough.",yes,
nervously,adverb.manner,He spoke nervously during the interview.,yes,
nervously,adverb.subject_oriented,"Nervously, she approached the microphone.",yes,
nervously,adverb.degree,The laughter was nervously forced.,yes,
nevertheless,adverb.contrast,"The task was difficult; nevertheless, she completed it.",yes,
newly,adverb.temporal,"Newlyweds, giving each other matching genital rings as wedding gifts.",,
nicely,adverb.speaker_oriented,Nicely where's Decatur? - He's gone.,,
nightly,adverb.temporal,My nightly walks will never be the same/,yes,
nobly,adverb.subject_oriented,He showed he's a leader. Nobly embracing his own flawed humanity.,,
nominally,adverb.domain,Judging by the number of those applications I dare to assert that there were more decent Jews in Germany than were nominally existent,,
normally,adverb.frequency,"Normally, I can do that.",yes,
northerly,adverb.spatial,Northerly wind at 1.8 meters.,,
notoriously,adverb.speaker_oriented,"Notoriously is hard to kill, trust me.",yes,
numerically,adverb.domain,"Men today we will execute an ambush against a numerically superior hostile force by using cover, surprise, interlocking fields of fire and the natural aggressiveness of the United States Marine.",yes,
nutritionally,adverb.domain,"Nutritionally balanced is the key term of dieting, understand?",yes,
objectively,adverb.domain,"Objectively, he is not wrong, but I don't like his idea.",yes,
obligingly,adverb.subject_oriented,Obligingly gave us the slip.,,
obliquely,adverb.spatial,"An inch below the crea'se of the thigh wa's a cut extending from the anterior 'spine of the ilium, obliquely down the inner 'side of the left...",,
obscenely,adverb.degree,"Now, if it's obscenely excessive enough, perhaps you'd care to grant my freedom,",,
obstructively,adverb.manner,"The committee behaved obstructively, blocking all reform attempts.",yes,
obviously,adverb.speaker_oriented,"Obviously, this woman is lying.",,
occasionally,adverb.frequency,"Occasionally, maybe, he had some water.",yes,
oddly,adverb.speaker_oriented,"How cool must their block parties be? Oddly, they never invite me.",,
offensively,adverb.speaker_oriented,"Offensively put, but I think I can make that happen.",,
officially,adverb.domain,"Officially, they never found the murderer.",yes,
only,adverb.focus,She was the only person who understood the question.,yes,
opportunely,adverb.manner,"And so by disposition of the divine mercy, it was done most opportunely, that Joan, child of god, daughter of France, today be placed among the number of the saints.",yes,
oppressively,adverb.degree,"""In the autumn of that year, when the clouds hung oppressively low in heavens,""",yes,
optimally,adverb.speaker_oriented,"- No. You don't send a puppy to clean up its own mess. Optimally, you don't even have a puppy.",,
orally,adverb.domain,"Forensically, it's a dead end, but, uh, behaviorally we might have something.",,
ordinarily,adverb.frequency,The miss has made her decision... extrordinarily delighted.,,
organizationally,adverb.domain,"In the beginning we had no funding at all, we were not set up with manpower nor organizationally, so there was a lot to improvise.",,
originally,adverb.domain,"- Originally, I'm from Canada.",yes,
ostensibly,adverb.speaker_oriented,"Ostensibly, it's a sexual harassment workshop.",,
otherwise,adverb.contrast,"Hurry up, otherwise we’ll miss the train.",yes,
outlandishly,adverb.degree,I keep him despite the outlandishly lustful thoughts he spews at me.,,
outrageously,adverb.degree,These fistfights are outrageously one-sided.,,
outstandingly,adverb.degree,"Outstandingly so, even for twins.",,
overly,adverb.degree,"Good question, overly excited former Foster Kid.",yes,
overtly,adverb.degree,"Oh, is that too overtly gay?",yes,
overwhelmingly,adverb.degree,"I get much more sexual gratification from ""moe"" (anime otaku term for ""overwhelmingly cute"")",,
paradoxically,adverb.speaker_oriented,"Paradoxically, I have no political beliefs. Life is pain.",,
parenthetically,adverb.manner,The author mentioned parenthetically that the event had already passed.,yes,
partially,adverb.degree,"Partially digested eggs, bacon, and...",,
particularly,adverb.focus,"I was friends with all these guys here, but I was particularly friends with these two.",yes,
partly,adverb.degree,"Yeah, ""Partly cloudy, but fix bayonets, because there's a sharknado coming!""",,
patently,adverb.speaker_oriented,"All Of It Seems Patently Troublesome To Me, Mother, And It Has For A Long, Long Time.",,
pathetically,adverb.degree,"That pathetically faithful woman, like the queen of self-pity she is, did not go to China, but returned to her plagued home, treating the sick while repenting her shameful mistake.",,
peculiarly,adverb.degree,I think it's a peculiarly american tradition.,yes,
perennially,adverb.temporal,"He had a perennially weak heart, high blood pressure, the whole kit and caboodle.",,
perfectly,adverb.degree,"and you'll be perfectly okay in the morning. thank you very much, doctor.",yes,
perilously,adverb.degree,"I was subjected to tests, tests resulting in a life-threatening disease, its cure as mysterious as the illness itself, tests which I now suspect are part of a larger conspiracy, a conspiracy of men hiding science for almost 60 years secrets kept from the American people by a self-interested cabal intent on the consolidation of power both at home and on a perilously global scale.",,
periodically,adverb.frequency,"Periodically, they line up together, bang, bang, bang, and Io gets a powerful gravitational kick on a very regular basis.",,
peripherally,adverb.degree,"Ah, yes. ""Peripherally involved with several questionable incidents.",,
permanently,adverb.temporal,"if you don't get her out of this town, I'm going to put you out of business permanently,",yes,
perpetually,adverb.temporal,"Perpetually in fourth place behind the Today show, Good Morning America and that thing on CBS, whatever it's called.",yes,
persistently,adverb.temporal,"She took too many sedatives by mistake, so she has brain death. She is, ""persistently vegetative.""",yes,
personally,adverb.speaker_oriented,"Personally, I don't see anything wrong with dating a younger man.",,
phenomenally,adverb.degree,the new york stock exchange phenomenally dropped yesterday,yes,
philosophically,adverb.domain,"Philosophically, he was just no-nonsense honest, had his view very cool view of humanity.",,
phlegmatically,adverb.manner,"Despite the chaos, he responded phlegmatically to the unexpected change.",yes,
phonetically,adverb.domain,"and ""hockey championship"" are this close phonetically.",,
physically,adverb.domain,"""Solitude will destroy you. Physically, too.",,
piously,adverb.subject_oriented,Piously the simpleminded breadwinners passed on the lesson to their children.,,
pitilessly,adverb.speaker_oriented,Pitilessly. You'd still be a white lily to me.,,
plainly,adverb.speaker_oriented,"Plainly, both parties are repudiating Van Ackerman 's tactics. He is still putting up a fight to regain the floor before the question is put to a vote.",,
plausibly,adverb.manner,My impression on that it's sound plausibly.,yes,
politically,adverb.domain,"Politically, as far as the next election's concerned, we're not dead, but in a coma.",,
poorly,adverb.degree,"These little buggers, called archaeans, are still poorly understood.",,
popularly,adverb.domain,"[in social media, thousands of users ask for the liberation of the engineer popularly called ""bombita""]",yes,
possibly,adverb.speaker_oriented,A Russian passport. Possibly registered as Konchalovsky. Bebe.,,
posthumously,adverb.temporal,But there's your father... Posthumously decorated for heroic action.,,
potentially,adverb.speaker_oriented,"- Potentially, this is our retirement fund.",yes,
practically,adverb.degree,I couldn't get the ink off for days. practically rubbed myself raw.,,
pragmatically,adverb.domain,"I kind of packed for her. Pragmatically, jayson,if you guys could reconcile, that wouldn't bethe worst thing, trial strategy-wise.",,
preciously,adverb.degree,"That's why we're here... to help the Allied High Command gain the preciously needed time... to complete the invasion buildup. Lassiter, you've got a job.",,
precisely,adverb.speaker_oriented,"Precisely, your tastes interest me.",yes,
precisely,adverb.temporal,"You see, the Federals are expected to advance against my forces at precisely 12:00 noon today.",yes,
predominantly,adverb.degree,"Predominantly, it's a sheep-snatching thing.",,
preposterously,adverb.degree,Alan Shore for the preposterously charged Mr. Swenson.,,
presently,adverb.temporal,"Presently, Sakura TV have stopped their broadcasting.",yes,
presumptively,adverb.speaker_oriented,"""KM reagent kit is presumptively positive for blood.""",,
previously,adverb.temporal,"Previously on ""Scandal""... what do you want?",yes,
primarily,adverb.degree,"Primarily in weapons trade, but we think she may have a hand in human trafficking, as well.",,
principally,adverb.degree,"as a great canadian victory. - there were principally french canadians there, but there were also scottish, irish,",,
privately,adverb.spatial,"Dr. Baird,your mother's asked to speak to you... Privately.",,
prodigiously,adverb.degree,I am prodigiously proud of him. I defy even Sir William Lucas to produce such a son-in-law.,,
productively,adverb.domain,"We're not barren, we're reproductively challenged.",yes,
professionally,adverb.domain,"Professionally, yes. - He kills people!",yes,
profoundly,adverb.degree,I am profoundly disappointed.,yes,
profusely,adverb.degree,"The new species of creature that propagated so profusely, have committed group suicide to control their own population.",yes,
prohibitively,adverb.degree,"It was the ideal source of abundant power in tropical regions, where imported coal was prohibitively expensive.",yes,
proportionally,adverb.speaker_oriented,"Proportionally, they're identical - to Michelangelo's David. - Hmm.",yes,
proportionately,adverb.manner,"as her love for him blossomed, my distrust of his intentions grew proportionately.",yes,
proudly,adverb.manner,He stood proudly beside his work.,yes,
proudly,adverb.subject_oriented,"Proudly, she announced her promotion.",yes,
proudly,adverb.degree,The tradition was proudly maintained for generations.,yes,
proverbially,adverb.domain,The Cantonese are proverbially dishonest.,yes,
provisionally,adverb.temporal,"-Provisionally, of course. -Thank you, sir.",,
psychically,adverb.domain,"- Why? - Psychically, I'm very well-endowed.",yes,
publicly,adverb.spatial,You think I'd miss the opportunity to drink publicly for the first time in 11 months?,yes,
punctually,adverb.temporal,"Punctually at 6:00, the whole group must assemble in the so-called Orgy Room where storytellers, in turn, will sit and tell a series of stories on a given subject.",yes,
purely,adverb.degree,"I don't mean to indulge in gossip, but my intent is purely to safeguard our medical integrity.",,
purportedly,adverb.speaker_oriented,"For this robbery at the jewellery shop, Purportedly the criminals didn't shot at all.",,
purposely,adverb.subject_oriented,"Sorry. All right, look, I--I Purposely left the condoms in a",,
qualitatively,adverb.domain,I believe that my work on mapping the impulse pathways in a single neurone... can enable us to construct... a Mecha of a qualitatively different order,,
quarterly,adverb.frequency,He comes quarterly.,yes,
racially,adverb.domain,that's lit the fires of prejudice on both sides of the color line in this racially troubled city.,,
radiantly,adverb.degree,You're not looking as radiantly happy as young females in your situation are supposed to look.,yes,
radically,adverb.degree,It's scary stuff. Radically advanced.,yes,
rarely,adverb.frequency,"Rarely, and it's a problem, but, You know, we couldn't afford a planner, so, here we are.",yes,
rashly,adverb.subject_oriented,"Rashly, and praised be rashness for it let us know our indiscretion sometimes serve us well when our deep plots do pall and that should learn us there's a divinity that shapes our ends.",,
rationally,adverb.domain,"Rationally speaking, if you were to have someone operate on your brain, for example, you'd want a surgeon who's done the procedure many times.",,
readily,adverb.degree,Let's not look for a complicated explanation when there's a simple one readily available.,,
reasonably,adverb.manner,She negotiated reasonably despite the rising tension.,yes,
reassuringly,adverb.speaker_oriented,"Reassuringly, with encouragement you can extend the wrist, which is what the radial nerve should do, but the altered sensation is a cause of concern.",,
recently,adverb.temporal,"Recently they lost their daughter, Dara.",,
recklessly,adverb.degree,Isn`t it great been marriage to someone who`s recklessly impulsive?,,
recklessly,adverb.subject_oriented,"Recklessly, Bruno returned to Italy.",yes,
recklessly,adverb.manner,He drove recklessly through the intersection.,yes,
recklessly,adverb.subject_oriented,"Recklessly, she spent her entire savings.",yes,
recklessly,adverb.degree,The decision was recklessly optimistic.,yes,
refreshingly,adverb.speaker_oriented,"- Refreshingly informal, your American Navy.",,
regionally,adverb.spatial,Not just regionally but nationwide and that comes down to 'localised affordable child care.,,
regularly,adverb.frequency,"Regularly scheduled visits, and low impact, non-invasive study.",yes,
relatively,adverb.domain,"Relatively speaking, New York City is very safe.",,
religiously,adverb.domain,"Religiously, I'm Muslim. But I've always been a big fan of Christmas.",,
religiously,adverb.frequency,"And he exfoliates every night, religiously, with one of those vibrating Derma-brasion things",yes,
reluctantly,adverb.subject_oriented,"Reluctantly, the man continued to climb mountains that were said to be even taller. Day after day he climbed, all in order to make the people recognize his greatness.",yes,
remarkably,adverb.manner,He recovered remarkably fast after surgery.,yes,
remarkably,adverb.degree,The plan worked remarkably well.,yes,
remarkably,adverb.subject_oriented,"Remarkably, the crowd stayed silent.",yes,
remotely,adverb.degree,and what do i have that could remotely interest you?,yes,
remotely,adverb.spatial,"Remotely accessing Davis' computer, mirroring the hard drive and initiating an SSH P3 protocol for a complete sweep.",yes,
repeatedly,adverb.frequency,We drugged his daughter and raped her.. Repeatedly one after the other.,yes,
reportedly,adverb.speaker_oriented,"Reportedly, he's going to choose his successor, and withdraw from the martial arts world.",,
reputedly,adverb.speaker_oriented,"Reputedly built from the bones of 9,000 monks. It was dismantled and burned by the Mongols in the 13th century.",,
respectively,adverb.speaker_oriented,Irrespectively of the hype on the internet and all the fast rivers that come and go.,,
retrospectively,adverb.temporal,"They're saying if we go ahead and do it before the law is repealed, then we could be charged with murder retrospectively.",yes,
revoltingly,adverb.degree,You can be revoltingly coarse at times.,yes,
rhetorically,adverb.manner,"I say this rhetorically, since I should think it is obvious, but if I were involved in this in any way, or if my intentions were anything less than honorable, would I have come to Atlantis?",,
richly,adverb.degree,"Richly in both, if justice had it right.",,
ridiculously,adverb.degree,"Then came marriage, Then came an overpriced, Ridiculously complicated baby carriage.",yes,
righteously,adverb.manner,"""The senator argued righteously for the new bill.""",yes,
righteously,adverb.subject_oriented,"""Righteously, she refused to participate in the cover-up.""",yes,
righteously,adverb.speaker_oriented,"""He was righteously angry about the injustice.""",yes,
roguishly,adverb.degree,Roguishly handsome and at your service.,,
roughly,adverb.degree,"So sooner rather than later, there'll be a meltdown and radioactive material will be released into the atmosphere. Yeah? - Roughly?",,
roundly,adverb.degree,"so if this idea had been roundly rejected by the city and by voters and whatever, but now's your chance to sneak on in.",,
routinely,adverb.frequency,Routinely volunteering her time to charity...,,
royally,adverb.degree,"More ""royally"" than that, is not possible.",,
rudely,adverb.subject_oriented,"Well, before you so rudely ended your own life, you poisoned a detective.",yes,
rudely,adverb.manner,"""The audience member rudely interrupted the speaker.""",yes,
rudely,adverb.subject_oriented,"""Rudely, he hung up without saying goodbye.""",yes,
rudely,adverb.degree,"""The alarm was rudely loud this morning.""",yes,
ruggedly,adverb.degree,"No, no, I mean the older, shorter, less-ruggedly-handsome Dr. Harmon.",,
sadly,adverb.speaker_oriented,"Sadly for Juanita, this was one dream that would never come true.",yes,
sadly,adverb.manner,She smiled sadly as she said goodbye.,yes,
sadly,adverb.speaker_oriented,"Sadly, they chose to cancel the event.",yes,
sadly,adverb.degree,The building was sadly neglected for years.,yes,
safely,adverb.speaker_oriented,"Kids, it's been almost 20 years since that cold April night in 2013, and I can safely tell you, if I could go back in time and relive that night, there's no way in hell I'd go to Robots vs. Wrestlers.",,
sanely,adverb.degree,-l was never mad at you. I was-- -lnsanely jealous.,yes,
sanely,adverb.manner,"In the face of panic, only one person reacted sanely.",yes,
scandalously,adverb.degree,Scandalously revealing thong. - [Homer] Going somewhere?,yes,
scantily,adverb.degree,Scantily-clad vampire space princess is right.,,
scarcely,adverb.degree,"one can scarcely imagine the changes that could occur in 200,000 times that long.",,
scarcely,adverb.temporal,"Scarcely were you both gone and on your way, a messenger from Lord Capulet arrived.",,
scarily,adverb.degree,"Most kids just wanna watch Laguna Beach, a show which is scarily instructive about gender roles.",yes,
scholastically,adverb.domain,"- I did well scholastically, but my lack of human understanding created social obstacles.",yes,
scientifically,adverb.domain,"Scientifically speaking, ancestry is more about geography.",yes,
screamingly,adverb.degree,Now the man retires... it's screamingly clear.,yes,
seasonally,adverb.temporal,First winter snow Trumpet flowers bloom seasonally,yes,
secondly,adverb.speaker_oriented,"Secondly, you do not say ""Grams"". You should say ""Grandma"".",yes,
securely,adverb.manner,The athlete performed securely under the pressure of the finals.,yes,
seemingly,adverb.speaker_oriented,"The killer said that the women were chosen because they were ""seemingly innocent,"" virginal.",,
selfishly,adverb.subject_oriented,"Selfishly, I tried to keep you here, while the cancer ate away your organs, like an unstoppable rebel force, but I couldn't save you, and I shall see your face... nevermore, nevermore,",yes,
selflessly,adverb.manner,The firefighter risked his life selflessly to save the trapped child.,yes,
sensationally,adverb.degree,There was this sensationally talented young man.,yes,
sensibly,adverb.speaker_oriented,"Sensibly, it's not a question of truth versus fiction, but of truths which are incomprehensible, because we have no physics, no real language for explaining Patient X's story, much less the existence of extraterrestrials.",,
sensibly,adverb.manner,They invested sensibly instead of chasing unrealistic returns.,yes,
separately,adverb.domain,"Separately, we are flawed and vulnerable, but together, we are the masters of our sexual destiny.",yes,
separately,adverb.spatial,"If you've saved the data separately from the main computer, it should be fine.",yes,
separately,adverb.speaker_oriented,"Separately, on an unrelated note, If you happen to find a small brass key...",yes,
serially,adverb.frequency,Reggie Rhodes was serially abused by a number of adult men.,yes,
severely,adverb.degree,"and for that, he will be severely punished.",yes,
sexually,adverb.domain,"Sexually speaking, do you think you are more hot-blooded, ardent, stronger than Southerners or not?",yes,
shamelessly,adverb.subject_oriented,"Shamelessly you bartered Freia, my lovely sister",yes,
sharply,adverb.degree,Master Shen. Many analysts found out that. Ruan's later progressive roles contrasted sharply with her real life.,yes,
sheepishly,adverb.subject_oriented,"Sheepishly, they admitted that it was too late. That the money was already spent.",,
shockingly,adverb.speaker_oriented,"Shockingly, these gift baskets haven't solved anything.",yes,
shortly,adverb.temporal,"Shortly after the businesswoman was released, this man was arrested, former army officer Ronaldo Monteiro.",yes,
sickeningly,adverb.degree,- Hundreds late. Sickeningly late.,,
significantly,adverb.degree,Significantly altered you to - the - core.,,
significantly,adverb.speaker_oriented,"- Significantly, sensing the end game.",,
simply,adverb.degree,"Simply by yelling at the girls and threatening 'em with violence, he has made our home a happy place.",,
simply,adverb.speaker_oriented,Simply guard the house for me.,,
simultaneously,adverb.temporal,"Simultaneously, the liver in turn excretes poisons into the colon for expulsion.",yes,
sincerely,adverb.speaker_oriented,"""Sincerely, Donald F. Draper, ""Creative Director, Sterling Cooper Draper Pryce.""",,
singularly,adverb.degree,"Singularly unique, sculptured in design, hand-crafted in Switzerland and water-resistant to three atmospheres.",,
socially,adverb.domain,"Socially marginalized, IQ off the charts.",,
solely,adverb.degree,worldwide. that was solely for my own personal laundry.,,
sorely,adverb.degree,sorely lacking in fiction since the 19th century french novel.,,
southerly,adverb.spatial,Antarctic petrels now join the most southerly bird colony on Earth.,,
sparsely,adverb.manner,- So how's the new place? - Sparsely furnished.,yes,
spatially,adverb.domain,"When you go into vertigo, your directional perception changes, you're spatially disoriented.",,
specially,adverb.degree,"María Antonia told me it had been a terrible week, the comrades thought they 'd return to prison, but they were harassed, forced to undress, specially Pujadas, Astudillo and Capello, they forced them to sweep, and insulted them,",,
specially,adverb.focus,The cake was specially made for her birthday.,yes,
specially,adverb.focus,We came specially to see you.,yes,
specifically,adverb.speaker_oriented,"There's an undocumented print on the ceiling of the elevator. - Specifically, a bloody print.",,
spectacularly,adverb.degree,"I was wrong. Spectacularly so. Worse still, I was disrespectful to you, to Inspector Thursday and to Sergeant Jakes.",,
spitefully,adverb.manner,The critic wrote spitefully about the performer’s latest work.,yes,
spookily,adverb.degree,His voice was spookily similar to the man's.,yes,
spotlessly,adverb.degree,"During that period, the barracks will be kept spotlessly clean.",yes,
